,precision,recall,f1-score,accuracy,support
Adipocytes,0.7425149700598802,0.7848101265822784,0.7630769230769231,0.7848101265822784,316.0
CD4+Tcells,0.8373570520965693,0.8591916558018253,0.8481338481338482,0.8591916558018253,767.0
CD68+,0.7284894837476099,0.7298850574712644,0.7291866028708134,0.7298850574712644,522.0
CD8+Tcells,0.8632246376811594,0.9016083254493851,0.8819990745025451,0.9016083254493851,1057.0
Dendritic Cells,0.8135593220338984,0.8,0.8067226890756303,0.8,300.0
Endothelial cells,0.8398133748055988,0.9152542372881356,0.8759124087591241,0.9152542372881356,590.0
HSCs,0.7506561679790026,0.8640483383685801,0.8033707865168539,0.8640483383685801,331.0
MPO+,0.8212689901697945,0.8588785046728972,0.8396528095020558,0.8588785046728972,1070.0
Macrophages/Monocytes,0.8157349896480331,0.7533460803059273,0.7833001988071571,0.7533460803059273,523.0
Neutrophils,0.9123563218390804,0.9208236658932715,0.9165704387990762,0.9208236658932715,3448.0
Osteoblasts,0.8320610687022901,0.923728813559322,0.8755020080321285,0.923728813559322,118.0
Osteoclasts,0.8113207547169812,0.86,0.8349514563106796,0.86,50.0
Plasma Cells/MM cells,0.9725098179221706,0.951228029333023,0.9617512063081087,0.951228029333023,8591.0
Unknown,0.8983262553085186,0.8794326241134752,0.888779041028176,0.8794326241134752,4089.0
activated Macrophages/Monocytes,0.7655502392344498,0.8080808080808081,0.7862407862407862,0.8080808080808081,594.0
macro avg,0.8269828963963357,0.8540210844613462,0.8396766851975936,0.8540210844613462,22366.0
weighted avg,0.9045148094353656,0.9029330233389967,0.9034434225143726,0.9029330233389967,22366.0
