,Endothelial,disease2_x,bone_area,disease2_y,EC_to_bone_area
TS-373_IMC01_UB_001.csv,1532,MM_noBD,194110.5,MM_noBD,0.007892411796373715
TS-373_IMC01_UB_002.csv,853,MM_noBD,125435.75,MM_noBD,0.006800294174507666
TS-373_IMC02_MGUS_001.csv,30,MGUS,8558.5,MGUS,0.003505287141438336
TS-373_IMC02_MGUS_002.csv,2378,MGUS,321878.75,MGUS,0.007387875092717366
TS-373_IMC03_MGUS_001.csv,273,MGUS,147471.75,MGUS,0.0018512020098764678
TS-373_IMC03_MGUS_002.csv,923,MGUS,217837.75,MGUS,0.0042370984827010015
TS-373_IMC04_MGUS_001.csv,903,MGUS,172086.25,MGUS,0.005247368688666294
TS-373_IMC04_MGUS_002.csv,928,MGUS,72397.25,MGUS,0.012818166435879816
TS-373_IMC05_MGUS_001.csv,524,SMM,298497.5,SMM,0.001755458588430389
TS-373_IMC05_MGUS_002.csv,1460,SMM,29951.0,SMM,0.048746285599813026
TS-373_IMC07_UB_001.csv,834,MM_noBD,39942.0,MM_noBD,0.020880276400781134
TS-373_IMC07_UB_002.csv,37,MM_noBD,714.5,MM_noBD,0.05178446466060182
TS-373_IMC08_UB_001.csv,466,MM_BD,120642.5,MM_BD,0.003862652050479723
TS-373_IMC08_UB_002.csv,581,MM_BD,153642.75,MM_BD,0.003781499615178718
TS-373_IMC09_B_002.csv,838,MM_BD,79049.5,MM_BD,0.010600952567694926
TS-373_IMC12_UB_001.csv,455,MM_noBD,236137.0,MM_noBD,0.001926847550362713
TS-373_IMC12_UB_002.csv,1136,MM_noBD,108615.5,MM_noBD,0.010458912402005239
TS-373_IMC15_B_002.csv,270,MM_BD,116928.75,MM_BD,0.002309098489464738
TS-373_IMC16-1_MGUS_001.csv,964,SMM,68012.0,SMM,0.014173969299535375
TS-373_IMC16-1_MGUS_002.csv,1297,SMM,150051.25,SMM,0.008643713397922376
TS-373_IMC18-1_MGUS_001.csv,863,SMM,122691.5,SMM,0.007033902104057738
TS-373_IMC18-1_MGUS_002.csv,55,SMM,61147.25,SMM,0.0008994680872811124
TS-373_IMC18-2_UB_001.csv,55,MM_BD,6583.5,MM_BD,0.00835421888053467
TS-373_IMC18-2_UB_002.csv,388,MM_BD,63513.25,MM_BD,0.006108961515904162
TS-373_IMC20_B_001.csv,2879,MM_BD,141750.0,MM_BD,0.020310405643738975
TS-373_IMC20_B_002.csv,273,MM_BD,294807.25,MM_BD,0.0009260287866054855
TS-373_IMC23_B_001.csv,1657,MM_BD,78324.0,MM_BD,0.021155712169960678
TS-373_IMC23_B_002.csv,431,MM_BD,105787.5,MM_BD,0.004074205364527945
TS-373_IMC24_B_002.csv,126,MM_BD,97012.75,MM_BD,0.0012987983538246262
TS-373_IMC24_B_009.csv,281,MM_BD,72343.25,MM_BD,0.003884260107197285
TS-373_IMC25_B_001.csv,147,MM_BD,174748.75,MM_BD,0.000841207733960901
TS-373_IMC25_B_002.csv,938,MM_BD,28676.75,MM_BD,0.03270942488252679
TS-373_IMC26_B_002.csv,882,MM_BD,165806.5,MM_BD,0.005319453700548531
TS-373_IMC27_B_001.csv,1061,MM_BD,141977.25,MM_BD,0.007473028249244157
TS-373_IMC27_B_002.csv,216,MM_BD,145362.0,MM_BD,0.0014859454327816072
TS-373_IMC28_B_001.csv,277,MM_BD,168637.75,MM_BD,0.0016425740974366652
TS-373_IMC29_UB_001.csv,939,MM_noBD,71447.5,MM_noBD,0.013142517232933273
TS-373_IMC30_UB_002.csv,1650,MM_noBD,45664.75,MM_noBD,0.036132903388280894
TS-373_IMC31_B_001.csv,1426,MM_BD,116909.25,MM_BD,0.012197495065617134
TS-373_IMC31_B_002.csv,1436,MM_BD,120504.75,MM_BD,0.011916542708897367
TS-373_IMC33_B_001.csv,787,MM_BD,61387.75,MM_BD,0.012820147342100012
TS-373_IMC33_B_002.csv,617,MM_BD,23685.5,MM_BD,0.02604969285005594
TS-373_IMC34_B_001.csv,1703,MM_BD,56865.5,MM_BD,0.0299478594226728
TS-373_IMC34_B_002.csv,492,MM_BD,4524.25,MM_BD,0.1087473061833453
TS-373_IMC35_B_001.csv,528,MM_BD,192745.25,MM_BD,0.002739367117996423
TS-373_IMC35_B_002.csv,855,MM_BD,77242.75,MM_BD,0.011069000003236549
TS-373_IMC37-1_MGUS_001.csv,1117,SMM,386041.0,SMM,0.0028934750453967323
TS-373_IMC38_B_001.csv,709,MM_BD,288455.0,MM_BD,0.002457922379573937
TS-373_IMC38_B_002.csv,214,MM_BD,31351.5,MM_BD,0.006825829705117778
TS-373_IMC39_B_001.csv,1633,MM_BD,73736.0,MM_BD,0.02214657697732451
TS-373_IMC39_B_002.csv,1139,MM_BD,56182.25,MM_BD,0.020273306960828377
TS-373_IMC40-1_B_001.csv,738,MM_BD,120475.0,MM_BD,0.006125752230753268
TS-373_IMC40-1_B_002.csv,562,MM_BD,62253.0,MM_BD,0.009027677381009751
TS-373_IMC42_B_001.csv,185,MM_BD,15133.25,MM_BD,0.012224736920357492
TS-373_IMC42_B_002.csv,1011,MM_BD,47790.75,MM_BD,0.021154721363443763
TS-373_IMC43_B_001.csv,7587,MM_BD,173557.75,MM_BD,0.04371455610596473
TS-373_IMC43_B_002.csv,1957,MM_BD,43437.75,MM_BD,0.04505297811235619
TS-373_IMC44_B_002.csv,4013,MM_BD,225696.5,MM_BD,0.01778051498361738
TS-373_IMC45_B_001.csv,391,MM_BD,85594.0,MM_BD,0.0045680772016730145
TS-373_IMC45_B_002.csv,683,MM_BD,189674.5,MM_BD,0.003600905762240048
TS-373_IMC47_B_001.csv,1200,MM_BD,74405.75,MM_BD,0.01612778582300427
TS-373_IMC47_B_002.csv,2204,MM_BD,140392.25,MM_BD,0.015698872266809598
